<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
03.09.2018;107900;108060;107900;108030
03.09.2018;107960;107960;107960;107960
03.09.2018;108000;108000;108000;108000
03.09.2018;108000;108000;108000;108000
03.09.2018;108080;108080;108080;108080
03.09.2018;108200;108250;108200;108250
03.09.2018;108250;108250;108250;108250
03.09.2018;108250;108250;108250;108250
03.09.2018;108200;108200;108200;108200
03.09.2018;108290;108290;108290;108290
03.09.2018;108050;108050;108030;108030
03.09.2018;108000;108000;107980;107980
03.09.2018;107980;107980;107980;107980
03.09.2018;108000;108000;107900;107900
03.09.2018;107800;107800;107720;107720
03.09.2018;107750;107820;107720;107820
03.09.2018;107910;107910;107910;107910
03.09.2018;108010;108010;108010;108010
03.09.2018;108010;108010;107950;107950
03.09.2018;108000;108000;108000;108000
03.09.2018;108050;108050;108050;108050
03.09.2018;108030;108030;108030;108030
03.09.2018;108030;108050;108030;108050
03.09.2018;108030;108030;108030;108030
03.09.2018;108030;108030;108030;108030
03.09.2018;108220;108220;108220;108220
03.09.2018;108140;108140;108140;108140
03.09.2018;108110;108210;108110;108210
03.09.2018;108220;108250;108220;108250
03.09.2018;107950;108030;107950;108030
03.09.2018;107910;107910;107910;107910
03.09.2018;107780;107810;107780;107810
03.09.2018;107840;107880;107840;107880
03.09.2018;107740;107740;107660;107660
03.09.2018;107650;107650;107650;107650
03.09.2018;107680;107680;107680;107680
03.09.2018;107710;107710;107710;107710
03.09.2018;107630;107640;107530;107530
03.09.2018;107500;107500;107450;107450
03.09.2018;107680;107680;107680;107680
03.09.2018;107770;107770;107770;107770
03.09.2018;107700;107700;107680;107680
03.09.2018;107680;107680;107680;107680
03.09.2018;107680;107680;107680;107680
03.09.2018;107650;107650;107650;107650
03.09.2018;107530;107530;107500;107500
03.09.2018;107500;107500;107500;107500
03.09.2018;107530;107540;107530;107540
03.09.2018;107520;107520;107520;107520
03.09.2018;107470;107470;107450;107450
03.09.2018;107510;107510;107510;107510
03.09.2018;107510;107510;107510;107510
03.09.2018;107500;107500;107500;107500
03.09.2018;107500;107500;107500;107500
03.09.2018;107400;107400;107380;107380
03.09.2018;107370;107370;107370;107370
03.09.2018;107530;107530;107530;107530
03.09.2018;107610;107610;107610;107610
03.09.2018;107580;107580;107580;107580
03.09.2018;107580;107610;107580;107610
03.09.2018;107430;107430;107430;107430
03.09.2018;107470;107470;107470;107470
03.09.2018;107470;107470;107470;107470
03.09.2018;107640;107640;107640;107640
03.09.2018;107640;107640;107640;107640
03.09.2018;107640;107640;107590;107590
03.09.2018;107770;107770;107770;107770
03.09.2018;107660;107660;107650;107650
03.09.2018;107660;107660;107660;107660
03.09.2018;107590;107590;107590;107590
03.09.2018;107640;107650;107640;107650
03.09.2018;107590;107590;107590;107590
03.09.2018;107540;107540;107540;107540
03.09.2018;107640;107650;107640;107650
03.09.2018;107640;107640;107640;107640
03.09.2018;107550;107550;107550;107550
03.09.2018;107600;107670;107600;107670
03.09.2018;107570;107570;107570;107570
03.09.2018;107570;107570;107570;107570
03.09.2018;107550;107550;107550;107550
03.09.2018;107650;107650;107650;107650
03.09.2018;107500;107500;107500;107500
03.09.2018;107480;107480;107480;107480
03.09.2018;107680;107680;107680;107680
03.09.2018;107530;107530;107530;107530
03.09.2018;107530;107530;107530;107530
03.09.2018;107630;107640;107630;107640
03.09.2018;107620;107620;107620;107620
03.09.2018;107650;107650;107650;107650
03.09.2018;107630;107630;107630;107630
03.09.2018;107720;107720;107720;107720
03.09.2018;107700;107700;107700;107700
03.09.2018;107630;107630;107630;107630
03.09.2018;107650;107650;107650;107650
03.09.2018;107660;107660;107660;107660
03.09.2018;107790;107790;107790;107790
03.09.2018;107750;107750;107750;107750
03.09.2018;107750;107750;107750;107750
03.09.2018;107710;107710;107710;107710
03.09.2018;107720;107720;107720;107720
03.09.2018;107660;107660;107600;107600
03.09.2018;107560;107560;107560;107560
03.09.2018;107500;107500;107500;107500
03.09.2018;107470;107470;107470;107470
03.09.2018;107580;107600;107580;107600
03.09.2018;107580;107580;107580;107580
03.09.2018;107450;107450;107380;107380
03.09.2018;107330;107390;107300;107300
03.09.2018;107340;107400;107320;107400
03.09.2018;107310;107310;107300;107300
03.09.2018;107360;107360;107200;107200
03.09.2018;107240;107240;107240;107240
03.09.2018;107350;107350;107350;107350
03.09.2018;107390;107390;107390;107390
03.09.2018;107430;107470;107430;107460
03.09.2018;107310;107310;107310;107310
03.09.2018;107260;107260;107260;107260
03.09.2018;107280;107280;107280;107280
03.09.2018;107430;107430;107430;107430
03.09.2018;107360;107360;107360;107360
03.09.2018;107310;107310;107260;107260
03.09.2018;107400;107400;107400;107400
03.09.2018;107320;107320;107320;107320
03.09.2018;107260;107280;107260;107280
03.09.2018;107300;107300;107300;107300
03.09.2018;107250;107250;107210;107210
03.09.2018;107260;107260;107250;107250
03.09.2018;107450;107530;107430;107530
03.09.2018;107480;107480;107480;107480
03.09.2018;107490;107490;107490;107490
03.09.2018;107530;107530;107530;107530
03.09.2018;107520;107550;107520;107550
03.09.2018;107550;107560;107550;107560
03.09.2018;107530;107530;107530;107530
03.09.2018;107540;107600;107510;107510
03.09.2018;107500;107500;107500;107500
03.09.2018;107460;107460;107410;107410
03.09.2018;107600;107600;107550;107550
03.09.2018;107550;107550;107550;107550
03.09.2018;107580;107580;107580;107580
03.09.2018;107600;107600;107600;107600
03.09.2018;107560;107570;107560;107570
03.09.2018;107680;107690;107680;107690
03.09.2018;107700;107790;107700;107770
03.09.2018;107620;107620;107620;107620
03.09.2018;107610;107610;107610;107610
03.09.2018;107600;107600;107600;107600
03.09.2018;107570;107570;107570;107570
03.09.2018;107560;107560;107560;107560
03.09.2018;107620;107620;107620;107620
03.09.2018;107620;107620;107620;107620
04.09.2018;107580;107580;107540;107540
04.09.2018;107700;107700;107610;107610
04.09.2018;107500;107500;107500;107500
04.09.2018;107570;107570;107570;107570
04.09.2018;107560;107560;107560;107560
04.09.2018;107610;107610;107610;107610
04.09.2018;107630;107640;107630;107640
04.09.2018;107670;107670;107670;107670
04.09.2018;107530;107530;107490;107490
04.09.2018;107530;107530;107490;107490
04.09.2018;107550;107550;107550;107550
04.09.2018;107640;107800;107640;107800
04.09.2018;107760;107760;107760;107760
04.09.2018;107710;107710;107710;107710
04.09.2018;107790;107790;107790;107790
04.09.2018;107750;107750;107750;107750
04.09.2018;107720;107720;107650;107680
04.09.2018;107750;107750;107720;107720
04.09.2018;107610;107610;107600;107600
04.09.2018;107580;107580;107580;107580
04.09.2018;107510;107580;107510;107580
04.09.2018;107590;107590;107590;107590
04.09.2018;107550;107550;107510;107510
04.09.2018;107550;107550;107550;107550
04.09.2018;107450;107450;107430;107430
04.09.2018;107530;107530;107530;107530
04.09.2018;107590;107600;107590;107600
04.09.2018;107690;107690;107690;107690
04.09.2018;107610;107610;107610;107610
04.09.2018;107640;107640;107640;107640
04.09.2018;107690;107690;107690;107690
04.09.2018;107610;107610;107610;107610
04.09.2018;107630;107630;107630;107630
04.09.2018;107570;107570;107570;107570
04.09.2018;107510;107510;107510;107510
04.09.2018;107460;107460;107440;107460
04.09.2018;107460;107470;107460;107460
04.09.2018;107340;107390;107300;107300
04.09.2018;107400;107410;107400;107410
04.09.2018;107360;107400;107210;107270
04.09.2018;107240;107240;106970;106970
04.09.2018;106910;106910;106830;106910
04.09.2018;106830;106870;106750;106870
04.09.2018;106900;107000;106850;106850
04.09.2018;106810;106840;106810;106840
04.09.2018;106910;106910;106910;106910
04.09.2018;106790;106790;106790;106790
04.09.2018;106910;106990;106910;106990
04.09.2018;106950;106950;106950;106950
04.09.2018;107000;107000;107000;107000
04.09.2018;106990;106990;106990;106990
04.09.2018;107000;107000;107000;107000
04.09.2018;107030;107050;107030;107050
04.09.2018;106980;106980;106980;106980
04.09.2018;107060;107060;107060;107060
04.09.2018;107060;107060;107060;107060
04.09.2018;107150;107150;107150;107150
04.09.2018;107030;107030;107030;107030
04.09.2018;107200;107200;107200;107200
04.09.2018;107300;107350;107300;107310
04.09.2018;107210;107230;107210;107230
04.09.2018;107150;107150;107150;107150
04.09.2018;107150;107150;107150;107150
04.09.2018;107000;107020;107000;107020
04.09.2018;106960;106960;106960;106960
04.09.2018;106930;106930;106930;106930
04.09.2018;106900;106900;106850;106850
04.09.2018;107000;107080;107000;107080
04.09.2018;107120;107120;107120;107120
04.09.2018;106950;106950;106920;106920
04.09.2018;107000;107000;107000;107000
04.09.2018;107000;107010;107000;107010
04.09.2018;107060;107060;107060;107060
04.09.2018;107070;107070;107070;107070
04.09.2018;107050;107050;107050;107050
04.09.2018;107020;107020;106850;106850
04.09.2018;106810;106860;106810;106850
04.09.2018;106990;107000;106990;107000
04.09.2018;107000;107000;107000;107000
04.09.2018;107000;107000;107000;107000
04.09.2018;107010;107010;107010;107010
04.09.2018;106900;106930;106900;106930
04.09.2018;106900;106930;106870;106930
04.09.2018;106930;106930;106930;106930
04.09.2018;106850;106850;106700;106700
04.09.2018;106700;106850;106700;106850
04.09.2018;106870;106870;106870;106870
04.09.2018;106810;106810;106760;106760
04.09.2018;106750;106750;106750;106750
04.09.2018;106740;106740;106740;106740
04.09.2018;106730;106730;106730;106730
04.09.2018;106700;106700;106700;106700
04.09.2018;106650;106670;106650;106670
04.09.2018;106700;106700;106700;106700
04.09.2018;106650;106670;106620;106670
04.09.2018;106730;106730;106730;106730
04.09.2018;106730;106730;106730;106730
04.09.2018;106710;106710;106700;106700
04.09.2018;106650;106670;106650;106670
04.09.2018;106600;106600;106590;106590
04.09.2018;106630;106630;106630;106630
04.09.2018;106590;106590;106590;106590
04.09.2018;106740;106740;106650;106650
04.09.2018;106650;106650;106650;106650
04.09.2018;106600;106600;106590;106590
04.09.2018;106750;106750;106750;106750
04.09.2018;106800;106800;106800;106800
04.09.2018;106850;106850;106850;106850
04.09.2018;106740;106740;106740;106740
04.09.2018;106800;106800;106800;106800
04.09.2018;106700;106700;106700;106700
04.09.2018;106700;106700;106700;106700
04.09.2018;106590;106590;106510;106550
04.09.2018;106500;106500;106500;106500
04.09.2018;106570;106570;106570;106570
04.09.2018;106540;106540;106540;106540
04.09.2018;106500;106500;106480;106480
04.09.2018;106430;106440;106430;106440
04.09.2018;106500;106500;106500;106500
04.09.2018;106540;106540;106500;106500
04.09.2018;106470;106470;106470;106470
04.09.2018;106460;106470;106460;106460
04.09.2018;106460;106460;106460;106460
04.09.2018;106400;106400;106400;106400
04.09.2018;106450;106450;106450;106450
04.09.2018;106480;106480;106480;106480
04.09.2018;106500;106500;106500;106500
04.09.2018;106410;106410;106410;106410
04.09.2018;106400;106400;106400;106400
04.09.2018;106400;106400;106400;106400
04.09.2018;106550;106550;106550;106550
04.09.2018;106550;106550;106500;106500
04.09.2018;106700;106700;106700;106700
04.09.2018;106700;106700;106700;106700
04.09.2018;106700;106700;106700;106700
04.09.2018;106780;106790;106780;106790
04.09.2018;106650;106650;106650;106650
04.09.2018;106650;106680;106650;106680
04.09.2018;106850;106850;106850;106850
04.09.2018;106870;106990;106870;106990
04.09.2018;107000;107040;107000;107020
04.09.2018;107000;107000;107000;107000
04.09.2018;106900;106900;106900;106900
04.09.2018;106900;106900;106900;106900
04.09.2018;106950;106950;106950;106950
04.09.2018;106990;107000;106990;107000
04.09.2018;106850;106850;106850;106850
04.09.2018;106750;106750;106750;106750
04.09.2018;106740;106740;106700;106700
04.09.2018;106830;106830;106830;106830
04.09.2018;106850;106850;106850;106850
04.09.2018;106840;106840;106840;106840
04.09.2018;107000;107000;106970;106970
04.09.2018;107070;107070;107070;107070
04.09.2018;107020;107020;107020;107020
04.09.2018;107090;107090;107080;107080
04.09.2018;106980;106980;106980;106980
04.09.2018;106900;106900;106900;106900
04.09.2018;106850;106850;106850;106850
04.09.2018;106880;106880;106810;106810
04.09.2018;106770;106770;106770;106770
04.09.2018;106840;106860;106840;106860
04.09.2018;106930;107000;106930;107000
04.09.2018;106960;106960;106960;106960
04.09.2018;106930;106930;106880;106880
04.09.2018;106900;106900;106900;106900
04.09.2018;106850;106950;106850;106950
04.09.2018;106950;106950;106950;106950
04.09.2018;106940;106940;106940;106940
04.09.2018;106820;106880;106820;106880
04.09.2018;106890;106890;106890;106890
04.09.2018;106920;106920;106920;106920
04.09.2018;106890;106890;106890;106890
04.09.2018;106950;106950;106950;106950
04.09.2018;107000;107000;107000;107000
04.09.2018;106990;106990;106990;106990
04.09.2018;106950;106950;106950;106950
04.09.2018;106860;106860;106860;106860
04.09.2018;106910;106910;106910;106910
04.09.2018;106950;106950;106950;106950
04.09.2018;106950;106950;106870;106870
04.09.2018;106920;106920;106910;106910
04.09.2018;106940;106940;106940;106940
04.09.2018;107050;107050;107050;107050
04.09.2018;106940;106940;106940;106940
04.09.2018;106850;106850;106850;106850
04.09.2018;106840;106840;106750;106750
04.09.2018;106750;106750;106750;106750
04.09.2018;106820;106820;106820;106820
04.09.2018;106810;106810;106810;106810
04.09.2018;106800;106800;106800;106800
04.09.2018;106730;106730;106730;106730
04.09.2018;106770;106770;106770;106770
04.09.2018;106780;106780;106780;106780
04.09.2018;106750;106750;106750;106750
04.09.2018;106710;106710;106700;106700
04.09.2018;106690;106690;106660;106660
04.09.2018;106660;106660;106660;106660
04.09.2018;106630;106630;106630;106630
04.09.2018;106550;106550;106550;106550
04.09.2018;106570;106570;106570;106570
04.09.2018;106570;106570;106570;106570
04.09.2018;106600;106600;106600;106600
04.09.2018;106600;106600;106600;106600
04.09.2018;106600;106600;106600;106600
04.09.2018;106530;106530;106530;106530
04.09.2018;106500;106500;106490;106490
04.09.2018;106490;106490;106490;106490
04.09.2018;106470;106470;106470;106470
04.09.2018;106490;106540;106490;106540
04.09.2018;106460;106460;106460;106460
04.09.2018;106450;106450;106450;106450
04.09.2018;106450;106450;106450;106450
04.09.2018;106470;106470;106470;106470
04.09.2018;106420;106420;106340;106340
04.09.2018;106370;106370;106370;106370
04.09.2018;106370;106370;106370;106370
04.09.2018;106510;106510;106510;106510
04.09.2018;106550;106600;106550;106600
04.09.2018;106550;106550;106550;106550
04.09.2018;106630;106630;106630;106630
04.09.2018;106650;106650;106650;106650
04.09.2018;106640;106640;106640;106640
04.09.2018;106640;106640;106640;106640
04.09.2018;106660;106670;106660;106670
04.09.2018;106700;106760;106700;106760
04.09.2018;106680;106680;106680;106680
05.09.2018;106550;106550;106040;106270
05.09.2018;106270;106270;106170;106210
05.09.2018;106300;106300;106250;106250
05.09.2018;106250;106250;106250;106250
05.09.2018;106160;106160;106110;106110
05.09.2018;106230;106240;106200;106200
05.09.2018;106260;106260;106210;106210
05.09.2018;106300;106300;106280;106280
05.09.2018;106200;106210;106200;106210
05.09.2018;106250;106250;106170;106180
05.09.2018;106250;106250;106180;106180
05.09.2018;106200;106200;106200;106200
05.09.2018;106190;106190;106170;106170
05.09.2018;106160;106160;106160;106160
05.09.2018;106190;106260;106190;106260
05.09.2018;106220;106240;106220;106240
05.09.2018;106280;106350;106280;106350
